Search LSTM,Search GRU,Align LSTM,Align GRU,Insert LSTM,Insert GRU
118.1108551,106.2419205,114.2915039,120.0231552,135.1285706,141.6876678
105.2420807,118.4116058,118.7919006,124.4608994,134.9024506,144.0449524
97.1462708,114.8344421,118.5564117,114.9459381,134.1552887,145.5362701
107.6916046,119.1333237,118.1051102,127.4265823,140.7502289,145.906311
117.1578369,120.1202011,125.1391754,127.5079422,135.3259277,142.0901184
82.51985168,118.2784348,122.8927612,116.3885498,143.4024048,145.1177063
107.5499954,114.9637222,120.5187454,120.4230652,129.0040283,143.6285858
98.2118149,118.8683243,123.0847855,114.1498642,131.9897766,137.8000641
54.04251099,116.6411362,113.9769516,118.9154053,-24.18213272,139.1468201
110.7341156,124.2277069,117.3914185,111.4607086,125.855011,145.8383636
112.9369965,121.8831863,114.5414963,124.8203735,138.7709198,132.0930481
116.9224091,112.5349426,115.4889603,121.0062943,132.7779541,133.4881592
105.0749435,115.0029221,112.3883667,108.0610199,129.7259369,132.8592224
93.91038513,105.1549072,112.3874283,127.5414505,138.3292999,143.8291779
117.2391663,121.392067,120.0478745,123.0534821,135.0370331,141.5539703
115.8221741,107.307518,122.1271973,120.161293,130.8625793,134.4964447
117.5724487,124.6374054,115.2724075,111.7716064,141.570755,140.1723022
101.5699463,100.4551163,110.1349792,129.2534637,131.5001373,142.8306885
120.3659973,102.8980942,117.6931992,122.5035095,133.4473572,145.4631805
88.91226959,103.81147,114.3372192,84.42402649,140.6853638,133.4202118
127.4851379,111.9632034,114.5818024,123.0132828,133.7335663,130.8302155
114.7140045,115.4449081,116.6564102,118.5885239,136.668045,147.1074829
117.855072,108.9581757,117.1856918,123.527565,-54.56629562,141.4644012
98.2325974,113.2619247,119.7365875,117.349823,-63.92028046,137.7810211
99.6540451,127.1217194,116.2198181,126.7129211,137.9420013,132.5537262
97.9639511,110.6495819,124.4618988,127.4914017,128.6398621,144.3392334
108.9216232,124.834404,117.7461166,112.7068863,134.2120514,144.0704651
117.396225,102.8982391,116.2853546,129.0449219,129.2887726,144.6068878
108.9189987,126.5354538,116.048027,121.5224075,130.8655243,136.1016541
116.7692871,113.1311951,116.0446091,122.3836288,126.9493408,129.451889
121.3123474,99.61847687,117.3275986,124.412735,133.4650269,144.304184
110.0515823,124.3599548,118.1864319,125.5235596,130.9487,142.0537262
108.1416702,114.4221115,118.3687363,111.6394348,132.5706177,146.260025
124.3761444,99.3637085,119.2107544,119.4202805,137.7225037,134.9837952
123.0326691,116.2787933,120.4878159,118.2641983,132.3243866,141.0565948
109.5834503,115.5889664,126.9477005,125.0552673,143.8542633,136.1899719
86.96746063,124.9246521,124.4001465,122.7532196,131.8296204,138.9620361
121.7878723,122.9040298,120.142334,122.7700348,134.2665863,145.6350555
101.1434402,132.5254822,122.6377335,122.4913635,136.9750671,142.4219055
122.8632965,100.3257141,118.5181046,126.1919098,132.8002319,140.0541229
114.8855438,117.175499,111.8548889,119.7667542,130.9988098,142.0658722
24.36486435,124.2106781,119.5149078,122.3914337,134.4224701,138.2956696
116.2515411,108.3099747,123.8195038,123.8860092,135.9998627,141.5548553
109.674675,103.0132751,119.9209595,123.8191605,125.5771179,135.6867523
103.8822174,110.4116592,121.7352066,110.60569,135.9373169,141.243103
116.2152863,112.3666992,118.8625641,125.8324127,138.0246277,138.2555084
77.66474152,126.5572128,115.3264923,123.6655045,138.8733521,138.6995697
99.5362167,103.1182327,123.9775467,118.1067963,138.4142303,138.1690979
118.8458099,99.37548828,113.223381,119.7394257,133.43367,130.5613556
117.4028168,120.4364548,127.5845871,123.8017426,133.5559998,146.3694916
122.9620819,124.3324203,119.0880814,124.5325546,105.5662003,143.1800232
61.00853729,111.7615128,119.1029434,123.9182358,136.996048,137.6557007
114.95578,102.7804184,122.266037,98.5479126,137.1266785,138.1321716
111.9609451,106.3178787,118.564621,127.7326508,136.3382874,143.1688538
116.1146851,127.1894073,118.351265,125.7847977,131.0432587,142.3946838
118.4738617,120.1244125,114.1617508,118.559433,132.9108582,138.8189545
96.5283203,112.8988724,121.9355392,113.2688599,130.2327271,142.4480896
127.2435913,113.6381683,118.6032257,119.4256134,134.8231354,144.0945892
102.9903183,126.9623489,120.9173737,123.9190903,140.3883057,143.6911163
122.3026276,124.7054901,122.7956009,125.3189316,130.1347351,142.169342
121.5266113,112.5954361,120.0258865,115.6689529,133.0575104,140.5352173
114.2120361,112.4043274,117.4051743,123.8724823,140.0257416,134.7555542
107.7484589,115.7932434,116.1705246,126.4917526,-55.01648331,145.3401947
123.8411255,112.4197235,122.4515915,122.6129913,133.3826904,146.2870941
121.3531952,103.7406693,127.0277939,121.5574417,133.2062988,142.2017975
117.7963104,108.7316971,115.9942474,130.2250061,142.3707581,133.5965576
116.4098511,95.47525787,118.4836578,124.1434708,141.6054382,143.5311584
110.969696,108.3347092,116.1724243,122.9143066,131.3838348,132.9535217
117.1032867,128.5601196,116.5761185,119.7220993,128.0935364,133.4972382
119.6178741,99.50056458,118.3542938,123.2516937,125.2469025,139.8326721
103.0902634,122.0014496,117.5522308,120.0512238,133.8303375,140.9112854
117.1040955,114.3486862,116.5112686,120.7690201,134.546936,140.7013855
106.8538589,107.8024063,125.52742,123.9821777,129.7316284,138.5571289
84.68389893,119.5061951,119.6737976,123.1574097,137.9085999,136.1782837
120.5213776,111.1077957,117.312439,126.1723022,135.3303833,135.5833282
122.4056549,125.3052292,115.4025192,124.5442657,132.8873749,143.3678589
117.3136292,125.5906372,121.0973511,116.3570786,139.1289978,136.4692993
122.6947784,92.42024231,115.6018906,118.2254562,142.4582672,138.7265625
109.0512848,127.1261826,117.4911804,123.4719849,132.5710907,143.9314575
112.0327377,106.6588745,110.487915,125.2000427,139.4361877,145.8871613
102.1360321,130.2054138,121.4029007,127.1107559,136.8337097,142.7546539
111.5177917,104.6139069,115.9162521,125.2703094,139.5129242,143.1443787
89.93653107,126.2483063,120.5238571,117.4478073,129.702713,143.3314819
108.1648636,115.3272858,111.2454071,119.0208588,142.0224609,146.1872101
108.2053833,106.0068359,117.3278351,120.1620636,133.6076355,135.8087616
113.4799652,88.2930069,106.8778458,123.6060181,129.8747253,140.4610596
117.4599609,118.9990387,112.5225143,114.5000229,139.21521,138.4221649
111.2538376,115.0048218,106.9713211,122.2338562,133.6293335,142.3252716
98.992691,-54.15459442,119.4250183,125.7854309,132.4875641,130.0163422
129.1319275,116.2422485,118.1692657,126.7081299,130.1235199,142.0807343
120.2281342,122.1362228,119.5488129,123.3459854,135.3266907,133.7121887
102.0569077,115.854454,114.3305893,122.8181,130.7990875,129.793396
