ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
130.009201,137.9113312,-14.98279953,143.4887695,0.23486717,0.342631906,0.38955012,0.611211658,18,10,50,11
119.9553604,140.565918,-14.01949596,122.9799728,0.22450532,0.337631315,0.35980162,0.57615459,26,11,50,27
115.8115158,141.8770752,121.7139359,145.610199,0.213603169,0.333595216,0.339507699,0.565373778,32,10,30,12
108.036972,145.3173828,125.3468552,133.8039551,0.207906827,0.33101362,0.331185102,0.561101675,39,12,34,9
131.2784271,133.6187592,-29.17657471,134.1880951,0.193887383,0.325196356,0.295233101,0.548268199,21,9,50,10
134.8110199,137.7220459,139.7321625,130.7127838,0.190725371,0.323420972,0.292255104,0.543394208,24,9,13,11
92.63376617,138.9357452,127.9534607,129.5028229,0.184262738,0.321485639,0.285839438,0.535983562,49,10,27,17
131.9442139,138.9484253,129.9551697,134.7133026,0.181525975,0.319793463,0.280427992,0.531058252,22,9,23,11
142.1862335,136.0175323,129.2337646,120.0708618,0.178681284,0.317922682,0.275581807,0.521984458,24,10,22,21
140.3021545,132.4386597,134.6567841,134.414032,0.168029457,0.310520589,0.25014773,0.508743107,26,21,18,9
129.2102814,131.6304321,133.2371368,141.9130096,0.165138498,0.308896124,0.246641591,0.504483283,28,9,18,10
98.29418182,135.6083984,-27.8650856,140.7475433,0.157806262,0.30548808,0.228181273,0.496871114,49,10,50,10
129.803894,133.5542908,-29.65792084,142.5845642,0.155442268,0.303759128,0.220542312,0.492849618,26,10,50,10
135.2480011,134.1529083,135.1424713,141.693924,0.15269573,0.302044302,0.21442987,0.488446355,28,10,42,10
137.1333923,134.4885406,-21.2737484,134.8829803,0.150617287,0.300546259,0.207168669,0.484343767,23,9,50,9
130.6103973,143.2309875,-20.98869705,134.8686371,0.148191318,0.299044997,0.199528113,0.479605466,28,9,50,11
133.8217316,135.6190491,-10.17740345,139.1562347,0.146045864,0.297495186,0.191774949,0.475728273,23,9,50,10
136.5916138,144.9904938,-18.77380371,143.7750549,0.144312635,0.295865536,0.184843287,0.471032977,20,10,50,12
124.6578064,145.5040741,-29.40216064,138.7674408,0.139885113,0.292899132,0.176044255,0.463927805,35,9,50,9
100.2071533,141.2240295,-26.97645569,137.3314362,0.136601433,0.291295022,0.170721397,0.459418714,43,10,50,11
132.6029968,139.3998108,-20.20139313,138.1350098,0.135206386,0.289657444,0.166091442,0.454219848,17,10,50,13
-49.3506546,133.5093842,128.5121613,137.3223877,0.130895615,0.288049042,0.164723709,0.441451371,50,10,17,39
