Search ep_r PG GRU,Search ep_r PG,Search ep_r GRU,Search ep_r SAC,Align ep_r PG GRU,Align ep_r PG,Align ep_r GRU,Align ep_r SAC,Insert ep_r PG GRU,Insert ep_r PG,Insert ep_r GRU,Insert ep_r SAC
116.4352036,110.7224045,-85.33673859,-110.1718369,115.8756638,114.3408737,120.1424866,-51.40377808,131.9973145,147.4047394,113.5536957,127.1190567
117.2740402,131.9975891,-122.6256027,-108.8509064,120.9949646,97.89846039,-46.70777893,116.0072632,129.77034,126.4641037,42.53051376,-151.651535
127.0531006,128.0382843,-115.6829224,-80.91443634,124.550827,124.3261642,122.4559937,113.5192871,128.1142426,147.4425507,-75.88266754,-48.72597122
119.0587006,127.7480392,-96.02697754,-107.749176,99.46405792,104.7278061,-51.13667297,113.6484833,129.000885,131.1549225,-91.15330505,-100.1363907
138.0587158,105.5554047,-82.47657013,-92.39659119,103.7671356,114.4275742,-46.49942398,-46.47714233,130.5846252,132.8251801,59.11538696,100.9533997
132.0107269,132.3253479,-125.2049408,-183.9840393,116.8061829,123.5964661,-47.67187881,-57.39844131,145.1632843,122.3266983,-124.055687,-150.9688416
123.9925003,122.9981232,-95.71225739,-82.87754059,126.2290649,114.736557,-48.63134003,-46.40770721,130.8450317,126.1267166,-7.680945396,-133.6291962
133.3139191,66.47459412,-91.58982086,-110.8997574,119.4119186,113.4832611,-51.32624054,-46.24451065,129.4962158,146.7017365,-113.8568497,-58.6772728
134.1580963,110.6498489,-92.78032684,-98.75770569,123.2369385,112.5763397,123.9139938,-56.34259415,128.972168,147.1952362,29.68259621,-84.01287079
107.6022644,120.2037201,-96.04906464,-166.3597412,91.45867157,122.5586777,124.2326508,-52.6962471,130.2450104,128.1338348,72.10245514,121.0262909
118.4030228,118.7909851,80.17319489,-102.9071121,123.6407089,119.5005035,-48.98346329,-45.97091675,130.1002502,128.6469116,50.97407532,135.1268311
125.2646561,137.1564178,-94.63933563,-190.3092346,123.9618301,120.4385681,-46.71699524,91.58447266,130.9152069,124.2437592,85.99692535,29.54845619
126.0118942,102.8725357,-88.52301025,-108.9614105,124.0188675,115.3486633,122.1191711,112.9460526,148.1143036,131.2666473,-105.4296799,107.1658096
109.8467484,119.3742371,-80.94735718,-81.0123291,122.0419083,114.5455093,126.7629929,-48.3580513,129.3725128,124.3241653,-245.8514404,94.45941925
125.7762604,128.4473877,-119.7070541,-149.7015076,121.3469086,123.1220627,125.0185089,-46.5765419,130.4795837,130.6505737,-97.53049469,80.32325745
103.115097,120.848053,-82.42641449,-80.20789337,118.4039078,117.7664948,-44.11870193,-46.43064117,127.2892761,125.6028137,-87.09111786,-94.63399506
125.4941635,54.18114853,-81.04998779,-108.8558884,125.2526093,120.8481522,121.7722626,116.8419189,129.0395508,131.5121002,-82.2678299,140.3217773
133.0470123,125.8620453,-135.6795654,-119.9792557,124.3118973,123.0598602,-46.39640427,-52.47044373,130.6769562,128.7705383,-186.7122803,134.6386871
104.3300781,108.479248,-89.44571686,-120.1447372,121.215004,124.0064468,-45.75389099,115.6219711,129.8243256,127.706337,-141.7944794,-133.236908
119.5860596,103.5650024,-126.4302216,-142.0981293,126.425827,124.6496048,-46.46177673,-66.487854,132.3900452,129.1188049,-90.68437958,-104.131958
117.6778336,126.9488678,-94.51238251,-114.5293274,124.4755478,119.5484772,-46.7543602,113.2676544,129.6618347,147.7664795,-110.2913513,131.7521515
123.9517288,125.9974594,-81.71788025,-106.9352722,123.2989349,123.7883606,125.9963455,106.3301849,128.657547,130.6531219,-134.6396484,124.3897324
123.0378952,112.4594193,-97.03556061,-108.5330429,117.3408813,123.3653259,-46.56829834,-52.60085678,146.2330475,132.4950409,-107.0040207,-55.72186661
137.5028229,119.1041412,74.70605469,-181.8480377,120.875946,122.2700577,-46.8296051,111.742691,146.2046204,144.6721191,-28.64241219,-61.74493408
128.3137665,127.4797516,72.07453156,-113.4834442,120.9708252,114.5447159,123.1933441,-86.03461456,131.0270691,145.0209808,-203.9001465,138.1423645
130.4463654,108.0330811,-85.76293182,-99.82965851,122.5925217,123.9433365,-44.45371628,-46.24064636,127.5304947,132.0741425,-56.86826706,-152.9941406
121.5336838,99.80312347,59.05031967,-90.35480499,122.0108643,114.0097656,124.3376236,-46.11940384,132.3552704,146.4087524,-155.1728821,134.2657471
115.2958679,96.77314758,-104.0998459,-107.8753967,124.7096252,119.2917404,122.4606018,90.68997192,129.2181702,131.8712006,-130.9438171,-70.28440094
124.7045822,57.39476013,-88.95035553,-119.3599014,124.4756393,115.6696548,126.3770142,120.010498,128.6639862,128.9462738,111.8992157,115.7747726
101.8389969,115.3095551,-80.83228302,-149.2180176,122.5901642,104.796936,122.2597122,-46.47733307,130.5756836,145.5501709,-82.10115814,137.1809845
124.646698,121.6350021,-136.0827179,-108.6016617,125.4252243,108.7013931,-52.80063629,-46.29405975,126.1380234,127.6221848,123.9002457,30.74591446
134.0774841,117.023262,-105.5092773,-90.16025543,123.7363739,119.7807541,121.9008408,99.38690186,145.5617523,129.1890259,-101.0409698,-110.2725525
135.1340027,123.3437729,-106.9627991,-84.84368134,124.017662,124.1229706,123.4703979,-46.06365967,129.0517731,129.2229462,-90.67346191,-128.8299713
130.8621674,123.8010101,-81.58838654,-82.55178833,126.0285416,86.61341095,-46.31067657,117.8240585,129.8953705,133.3428802,-190.8454285,-65.93296814
130.4614105,114.9123764,-94.75093842,-115.5457306,122.6271362,119.4436646,-45.17815399,109.7968369,132.1849213,146.1109314,-112.8648224,-147.3685913
116.0962753,106.0829849,-106.8433151,-107.7744293,121.8230743,114.8924408,124.1336975,-116.0046539,131.6080475,133.951767,-147.8551178,97.45168304
122.7541046,130.0094147,-98.70098877,-116.0046234,118.7947235,123.6106262,124.4393921,-46.39132309,129.6177368,146.8422546,-152.2020264,-105.9430084
124.9416962,117.0963593,-111.6963882,-118.6356583,122.4189911,110.3033295,125.9318542,119.4562607,131.8328094,116.7953339,121.3341904,111.3761597
121.2340698,131.8172607,-112.8144608,-151.453125,125.1228714,114.4522705,119.1571274,-55.64154053,130.3871155,129.9107208,-135.1552429,-182.4072723
109.169754,119.6044006,-154.6369019,-100.4276047,122.080246,121.4473038,124.5092392,108.1926804,130.6984406,134.3755188,127.0372086,-147.7283173
123.5157928,124.9663315,-110.4848099,-91.10354614,121.7317429,123.1201477,125.3668518,-46.25749207,129.0629578,124.8445435,-107.4680176,113.393013
126.208931,123.8215256,-80.53852844,-93.44276428,106.2266617,120.1060028,-58.37349319,-57.86748505,131.3774719,147.6779785,-178.2080688,-173.4313202
129.9357605,119.237175,-97.11456299,-100.0815659,123.9551163,121.8702087,122.7657394,-46.29280472,129.1360931,128.981369,-184.5522156,118.5291901
127.6234589,130.6822968,82.64170074,-118.9984131,121.9740677,125.2488022,-51.57098007,-46.46853256,128.5243225,148.1779327,-114.9511414,126.8832321
120.5070877,116.8766556,-87.5157547,-125.4059677,123.3993149,110.6573486,-46.47303772,-46.6373024,128.9988708,143.6874237,87.58097839,4.236757278
115.3372955,123.0545578,-89.69963837,-107.1720963,124.0657272,100.2149506,124.6767044,112.5366745,128.4384766,146.9850464,4.382040501,128.3560333
116.3290634,108.9203491,-98.00028229,-227.4337311,121.2018433,114.5657806,-51.65169907,114.4199829,131.1615448,147.1540833,-126.4562759,136.0954742
128.868515,104.7174454,-134.322998,-152.8031006,121.5471115,113.5536575,123.2888336,-116.9357147,130.0918274,143.6265564,13.82396507,95.85043335
130.1208496,113.2272034,94.425354,-92.70290375,121.5634995,114.4314728,123.0965347,-46.12731171,131.4634705,132.0137482,-158.1632843,132.3088226
132.3388062,97.51702881,-74.27397919,-115.2423553,124.0488052,121.8583679,-39.65230179,106.4374161,145.4464417,132.9854126,77.753479,116.0544891
120.2262192,115.8224716,-86.29998016,-137.7776489,123.3904114,113.694931,125.8667068,110.551796,126.4784546,61.9883347,27.30355644,-114.7184677
125.2575302,135.9501343,-95.40210724,-93.52677155,122.0566177,113.7918472,127.1116638,106.2710114,129.1140442,124.018425,-154.6635895,141.2297821
127.5767288,111.6020737,-93.45318604,-164.6806641,124.0491943,113.8228073,120.1195831,-46.20330429,127.8858871,129.7599945,-192.5346832,-104.1154785
136.6190338,117.1964722,-82.34190369,-130.0016327,122.6332474,124.260025,-53.10977936,-48.40703583,131.2516327,131.0935211,35.35585785,-197.1033325
124.1889954,117.8051605,-94.25247192,-103.1305389,123.3908234,124.4733582,120.5193787,110.0799866,130.5894012,144.9834442,-195.5602722,-67.45024109
119.4229431,120.3834763,-154.6845856,-91.1056366,127.0988998,118.4833679,-47.08909607,-47.39186478,130.1157837,128.3813324,12.91855621,-61.31561661
127.1205673,119.326004,-116.5284119,-128.9734039,125.1145554,114.3905487,121.2072144,-45.93213654,128.6869049,131.7784882,22.36239433,127.0887604
123.4016266,104.0194855,-120.7497635,-103.0790024,121.0941086,121.6748199,-46.59797287,-46.52501678,130.5153656,129.7913666,126.4841461,128.6766815
123.4790726,128.3699493,-84.99998474,-163.839447,122.5958176,122.1128464,-52.01371765,104.3759995,129.8999634,131.4375916,-276.8150635,136.9026947
